item,value,symbol
总市值,7004041311.93,002833
流通市值,4082456625.5200005,002833
行业,专用设备,002833
上市时间,20161228,002833
股票代码,300763,300763
股票简称,锦浪科技,300763
总股本,400686945.0,300763
流通股,321534605.0,300763
总市值,26072699511.149998,300763
流通市值,20922256747.35,300763
行业,光伏设备,300763
上市时间,20190319,300763
股票代码,300515,300515
股票简称,三德科技,300515
总股本,205754500.0,300515
流通股,183787968.0,300515
总市值,1886768765.0,300515
流通市值,1685335666.56,300515
行业,仪器仪表,300515
上市时间,20160608,300515
股票代码,600549,600549
股票简称,厦门钨业,600549
总股本,1418285200.0,600549
流通股,1414648300.0,600549
总市值,24082482696.0,600549
流通市值,24020728134.0,600549
行业,小金属,600549
上市时间,20021107,600549
股票代码,600826,600826
股票简称,兰生股份,600826
总股本,735533549.0,600826
流通股,735533549.0,600826
总市值,3810063783.8199997,600826
流通市值,3810063783.8199997,600826
行业,贸易行业,600826
上市时间,19940204,600826
股票代码,600005,600005
股票简称,武钢股份,600005
总股本,-,600005
流通股,-,600005
总市值,-,600005
流通市值,-,600005
行业,-,600005
上市时间,19990803,600005
股票代码,688092,688092
股票简称,爱科科技,688092
总股本,82690657.0,688092
流通股,82690657.0,688092
总市值,1528123341.3600001,688092
流通市值,1528123341.3600001,688092
行业,专用设备,688092
上市时间,20210319,688092
股票代码,002812,002812
股票简称,恩捷股份,002812
总股本,977756093.0,002812
流通股,825136960.0,002812
总市值,29723785227.199997,002812
流通市值,25084163584.0,002812
行业,电池,002812
上市时间,20160914,002812
股票代码,688006,688006
股票简称,杭可科技,688006
总股本,603672152.0,688006
流通股,603672152.0,688006
总市值,10280536748.560001,688006
流通市值,10280536748.560001,688006
行业,电池,688006
上市时间,20190722,688006
股票代码,600960,600960
股票简称,渤海汽车,600960
总股本,950515518.0,600960
流通股,950515518.0,600960
总市值,2499855812.3399997,600960
流通市值,2499855812.3399997,600960
行业,汽车零部件,600960
上市时间,20040407,600960
股票代码,002610,002610
股票简称,ST爱康,002610
总股本,4479532523.0,002610
流通股,4475534961.0,002610
总市值,1657427033.51,002610
流通市值,1655947935.57,002610
行业,光伏设备,002610
上市时间,20110815,002610
股票代码,301188,301188
股票简称,力诺特玻,301188
总股本,232450451.0,301188
流通股,150801858.0,301188
总市值,2859140547.3,301188
流通市值,1854862853.4,301188
行业,玻璃玻纤,301188
上市时间,20211111,301188
股票代码,600346,600346
股票简称,恒力石化,600346
总股本,7039099786.0,600346
流通股,7039099786.0,600346
总市值,103122811864.90001,600346
流通市值,103122811864.90001,600346
行业,化纤行业,600346
上市时间,20010820,600346
股票代码,002447,002447
股票简称,晨鑫退,002447
总股本,-,002447
流通股,-,002447
总市值,-,002447
流通市值,-,002447
行业,-,002447
上市时间,20100713,002447
股票代码,600092,600092
股票简称,S*ST精密,600092
总股本,-,600092
流通股,-,600092
总市值,-,600092
流通市值,-,600092
行业,-,600092
上市时间,19970626,600092
股票代码,688679,688679
股票简称,通源环境,688679
总股本,131689675.0,688679
流通股,131689675.0,688679
总市值,855982887.5,688679
流通市值,855982887.5,688679
行业,环保行业,688679
上市时间,20201225,688679
股票代码,300258,300258
股票简称,精锻科技,300258
总股本,481777185.0,300258
流通股,462731880.0,300258
总市值,3767497586.7000003,300258
流通市值,3618563301.6,300258
行业,汽车零部件,300258
上市时间,20110826,300258
股票代码,002122,002122
股票简称,汇洲智能,002122
总股本,2000069750.0,002122
流通股,1987286001.0,002122
总市值,4020140197.4999995,002122
流通市值,3994444862.0099998,002122
行业,通用设备,002122
上市时间,20070328,002122
股票代码,603755,603755
股票简称,日辰股份,603755
总股本,98613681.0,603755
流通股,98613681.0,603755
总市值,2184293034.15,603755
流通市值,2184293034.15,603755
行业,食品饮料,603755
上市时间,20190828,603755
股票代码,688387,688387
股票简称,信科移动-U,688387
总股本,3418750000.0,688387
流通股,1364110575.0,688387
总市值,16751875000.000002,688387
流通市值,6684141817.500001,688387
行业,通信设备,688387
上市时间,20220926,688387
股票代码,300503,300503
股票简称,昊志机电,300503
总股本,306072836.0,300503
流通股,217663020.0,300503
总市值,3813667536.5600004,300503
流通市值,2712081229.2000003,300503
行业,通用设备,300503
上市时间,20160309,300503
股票代码,000712,000712
股票简称,锦龙股份,000712
总股本,896000000.0,000712
流通股,895240775.0,000712
总市值,6845440000.0,000712
流通市值,6839639521.0,000712
行业,证券,000712
上市时间,19970415,000712
股票代码,002370,002370
股票简称,亚太药业,002370
总股本,609180082.0,002370
流通股,609180082.0,002370
总市值,1413297790.24,002370
流通市值,1413297790.24,002370
行业,化学制药,002370
上市时间,20100316,002370
股票代码,301029,301029
股票简称,怡合达,301029
总股本,576547920.0,301029
流通股,297949291.0,301029
总市值,10516234060.8,301029
