code,cname,pe,pb,mv
603297,永新光学,29.5,3.24,5875415430.0
603389,亚振家居,-29.09,4.69,1634317440.0
688630,芯碁微装,33.41,3.36,6728657203.0
300925,法本信息,35.21,2.52,5208813682.0
300513,恒实科技,-23.58,1.02,2402874247.0
601628,中国人寿,12.95,2.01,991525851400.0
002686,亿利达,35.23,1.46,2383866750.0
002837,英维克,41.8,5.93,15338724732.0
688593,新相微,-601.86,2.58,4053049414.0
688302,海创药业-U,-12.87,2.02,2585297264.0
001296,长江材料,15.9,1.29,2221427627.0
603993,洛阳钼业,13.4,2.38,145146896718.0
600028,中国石化,10.86,0.94,775227878198.0
000333,美的集团,11.87,3.0,494012554101.0
601567,三星医疗,20.56,4.26,47285487537.0
688235,百济神州-U,-37.21,8.82,214130025121.0
003043,华亚智能,31.53,3.0,3220381396.0
000546,金圆股份,11.42,0.93,3971788006.0
600148,长春一东,1490.49,4.28,2016609413.0
300010,豆神教育,38.43,5.11,5311194534.0
600309,万华化学,13.98,2.5,228604951839.0
603129,春风动力,15.79,4.12,22384657989.0
688208,道通科技,13.85,3.61,10709486938.0
600830,香溢融通,44.33,1.75,3775422028.0
600312,平高电气,24.16,2.51,25781504871.0
600375,*ST汉马,-11.45,-3.62,3494041267.0
002222,福晶科技,47.1,6.82,10321987500.0
002933,新兴装备,141.8,1.95,2910280000.0
300100,双林股份,10.03,2.11,4977554035.0
000425,徐工机械,9.93,1.23,73614714759.0
601225,陕西煤业,10.49,2.5,221530750000.0
601919,中远海控,5.79,0.93,195199117868.0
002595,豪迈科技,17.93,3.6,34432000000.0
300905,宝丽迪,40.6,2.5,4498789227.0
688167,炬光科技,-65.88,1.62,3704897104.0
688166,博瑞医药,46.85,4.31,9965986174.0
600826,兰生股份,25.1,1.1,4126343210.0
301369,联动科技,571.95,2.17,3184132472.0
002444,巨星科技,14.12,2.12,33706130836.0
688617,惠泰医疗,47.5,15.27,32544775722.0
688199,久日新材,-71.28,0.71,1836378389.0
838171,邦德股份,12.84,2.36,1219032500.0
300537,广信材料,51.63,3.57,2875957001.0
000933,神火股份,6.87,1.54,31383432306.0
000921,海信家电,8.62,2.45,34733420749.0
601000,唐山港,13.24,1.47,29214828067.0
600985,淮北矿业,6.12,0.89,35928071178.0
000519,中兵红箭,183.18,1.57,16334716859.0
601001,晋控煤业,8.07,1.34,23180745000.0
000016,深康佳Ａ,-2.79,1.33,6068022428.0
601900,南方传媒,18.88,1.45,11297003497.0
301036,双乐股份,21.47,1.75,2867000000.0
000682,东方电子,28.04,3.0,14171484464.0
300626,华瑞股份,68.96,2.73,1454400000.0
603009,北特科技,83.49,3.62,6327555759.0
001965,招商公路,15.19,1.3,82253268972.0
603379,三美股份,22.76,2.83,17465805249.0
603883,老百姓,10.02,1.47,10073063056.0
601118,海南橡胶,-36.01,2.29,21354344707.0
003002,壶化股份,20.36,1.97,2546000000.0
873570,坤博精工,33.54,2.6,893935008.0
002310,*ST东园,-1.62,-2.76,3679082945.0
600007,中国国贸,17.42,2.64,23953178659.0
603193,润本股份,19.28,3.42,6942821268.0
300577,开润股份,9.88,2.48,4901359334.0
301291,明阳电气,20.08,2.22,9890496000.0
603626,科森科技,-14.49,1.81,4655440599.0
601601,中国太保,5.8,1.09,291496346087.0
601096,宏盛华源,55.72,2.62,11262402920.0
603766,隆鑫通用,12.25,1.67,14436399206.0
600378,昊华科技,37.96,1.77,28117818189.0
688789,宏华数科,28.0,3.73,11210324710.0
002862,实丰文化,333.6,4.01,1647600000.0
600350,山东高速,14.09,1.62,45997728117.0
600674,川投能源,18.6,2.15,85646841968.0
002223,鱼跃医疗,14.07,2.6,31517874648.0
301382,蜂助手,32.1,2.7,4623687580.0
601727,上海电气,49.45,1.11,59514870731.0
600715,*ST文投,-9.29,-2.9,3561318720.0
301039,中集车辆,14.5,1.14,16323623698.0
873223,荣亿精密,-24.45,2.17,610265800.0
002670,国盛金控,190.34,1.54,16951341560.0
600119,长江投资,-76.74,12.09,2312161442.0
430198,微创光电,-10.32,2.63,1023046948.0
600439,瑞贝卡,169.84,1.01,2762044474.0
831278,泰德股份,20.13,1.92,684314400.0
002480,新筑股份,-8.26,2.43,3015141186.0
603557,ST起步,-17.27,-534.96,1067540657.0
688019,安集科技,29.25,5.76,13688854248.0
600679,上海凤凰,59.7,2.19,4848918958.0
601985,中国核电,15.92,2.03,187322185881.0
605151,西上海,23.64,1.5,2086620692.0
002650,ST加加,-39.31,1.11,2292480398.0
601666,平煤股份,7.11,0.84,19801149576.0
600889,南京化纤,-13.09,2.28,1831730050.0
000560,我爱我家,100.29,0.62,5888752128.0
600319,亚星化学,-11.0,2.36,1372491219.0
300979,华利集团,20.63,5.04,77500470000.0
600483,福能股份,10.13,1.06,24066989724.0
600426,华鲁恒升,9.72,1.44,43229709299.0
300765,新诺威,115.01,8.07,31519065663.0
300429,强力新材,2274.05,2.94,4761067958.0
688195,腾景科技,42.8,3.08,2809482000.0
871753,天纺标,109.48,5.76,2231293727.0
600750,江中药业,12.07,3.04,11802455481.0
688152,麒麟信安,-93.35,2.23,2715695659.0
688472,阿特斯,16.34,1.87,40496626218.0
600266,城建发展,-31.58,0.44,8697365294.0
600233,圆通速递,13.33,1.79,52988171655.0
688401,路维光电,22.6,2.91,3725540784.0
000786,北新建材,9.02,1.65,39939965385.0
000859,国风新材,-34.96,1.04,2920882643.0
000528,柳工,10.43,1.19,20522158665.0
873122,中纺标,294.66,11.02,3652787477.0
688266,泽璟制药-U,-121.96,10.36,16229258884.0
002150,通润装备,31.3,2.81,4822378418.0
601179,中国西电,40.91,1.68,37008870581.0
601127,赛力斯,34.89,8.56,113369544872.0
002246,北化股份,67.55,1.62,4683266793.0
601100,恒立液压,27.6,4.85,71103737206.0
002827,高争民爆,60.41,7.96,6651600000.0
002001,新和成,13.31,2.29,58665421617.0
688576,西山科技,23.61,1.34,2781516936.0
002800,天顺股份,89.21,2.72,1411385931.0
002003,伟星股份,17.92,3.48,14906558626.0
688799,华纳药厂,15.93,1.96,3594416000.0
601658,邮储银行,4.72,0.57,461099003577.0
603606,东方电缆,25.48,4.95,32817777361.0
600997,开滦股份,9.59,0.65,9240995133.0
000807,云铝股份,8.01,1.47,40367024194.0
601600,中国铝业,7.86,1.71,110328391296.0
600216,浙江医药,23.18,1.47,14616893800.0
301525,儒竞科技,26.06,1.57,4874975288.0
301498,乖宝宠物,33.29,5.27,20538284630.0
002816,和科达,-22.24,3.98,1006000000.0
600188,兖矿能源,8.64,2.31,130718982434.0
002261,拓维信息,2344.28,6.08,15637417912.0
000408,藏格矿业,14.5,2.96,37614354737.0
600612,老凤祥,9.52,2.23,26726086563.0
600377,宁沪高速,12.67,2.0,69672047925.0
600257,大湖股份,-73.5,2.36,2026008561.0
301360,荣旗科技,82.4,2.0,2293620000.0
